Key,ShortKey,Source,Row,Module,Field,Role,CN,VN
Item_9536_Name,aFPl,d道具_Item_A.csv,8,Item,Name,,源液,Bạc Tinh Chất
Item_9536_Desc,aFPj,d道具_Item_A.csv,8,Item,Desc,,自融蚀浆中提取的高纯度源液，极为珍贵。可提炼、衰变为银芯。,"Dung dịch lỏng tinh khiết cao được chiết xuất từ Slime Phân Rã, vô cùng quý giá. Có thể tinh chế hoặc phân rã thành bạc."
Item_9567_Name,aFRx,d道具_Item_A.csv,9,Item,Name,,银芯,Bạc
Item_9567_Desc,aFRv,d道具_Item_A.csv,9,Item,Desc,,蕴含强大精神力量的类银物质，稀有而昂贵。,"Chất liệu bạc hiếm và đắt đỏ, chứa đựng lượng linh lực mạnh mẽ."
Item_10108_Name,aCQJ,d道具_Item_A.csv,10,Item,Name,,蔷薇金券,Ngân Phiếu
Item_10108_Desc,aCQH,d道具_Item_A.csv,10,Item,Desc,,王国货币的优雅代称。处处皆可获取，事事皆需使用。,"Là tên gọi thanh lịch của tiền tệ được lưu hành trong Vương quốc. Nơi nào cũng có, nơi nào cũng cần."
Item_9578_Desc,aFSj,d道具_Item_A.csv,11,Item,Desc,,温柯尔小姐研制的神秘制剂，帮助调查员在密境中保持理智。副作用未知，请谨慎使用。\n当前数量小于300时，每5分钟将自动补充1支；超出300时，每15分钟自动补充1支。\n最多可持有3000支。,"Chế phẩm bí ẩn do Winkle phát triển nhằm giúp điều tra viên giữ được lý trí trong huyễn cảnh. Tác dụng phụ không rõ, xin sử dụng cẩn thận. \n Khi lượng Menophine hiện tại nhỏ hơn 300, chúng sẽ được tự động bổ sung 1 Menophine mỗi 5 phút; Vượt quá 300, sẽ tự động bổ sung 1 Menophine mỗi 15 phút. \n Tối đa có thể giữ 3000 Menophine."
Item_9556_Name,aFQJ,d道具_Item_A.csv,12,Item,Name,,经验,Kinh Nghiệm
Item_9556_Desc,aFQH,d道具_Item_A.csv,12,Item,Desc,,经验达到一定值时，守密人等级提升。可在调查关卡、幕间演习等玩法中消耗灵啡肽获得。,"Khi kinh nghiệm đạt đến một mức nhất định, cấp độ của Người Giữ Khóa sẽ được nâng lên. Có thể tiêu thụ Menophin để nhận thêm  trong các chế độ chơi như Điều Tra, Thực Hành , v.v."
Item_9916_Name,aGqV,d道具_Item_A.csv,13,Item,Name,,灵知制剂,Thuốc Tri Trức
