Key,ShortKey,Source,Row,Module,Field,Role,CN,RU
StageGroup_15935_Name,aRcG,g关卡组_StageGroup_A.csv,8,StageGroup,Name,,入学日,День поступления
StageGroup_15935_Desc,aRcF,g关卡组_StageGroup_A.csv,8,StageGroup,Desc,,启程日，钥冢细雨霏霏。在这里埋下你的墓碑、姓名和誓言。,"В день отправления на Кургане ключей моросит мелкий дождь. \nЗдесь суждено оказаться твоей могиле, твоему имени и твоим клятвам."
StageGroup_15935_TypeText,aRcI,g关卡组_StageGroup_A.csv,8,StageGroup,TypeText,,调查,Расследование
AvgDialog_10126_Content_1,adnc,avg序章_AvgDialog_C_M.csv,8,AvgDialog,Content,拉蒙娜战损版,生命衰减至0时，精神力将难以支持仪器继续探测<Yellow:密境>，为保证战斗人员的安全，仪器会将你强制拉出战斗。,"Когда ОЗ упадёт до 0, ментальных сил станет недостаточно чтобы поддерживать работу устройства для изучения <Yellow:Предела>. В целях обеспечения безопасности устройство принудительно выведет тебя из боя."
AvgDialog_10126_Content_2,adnd,avg序章_AvgDialog_C_M.csv,9,AvgDialog,Content,拉蒙娜战损版,本次情况紧急，我调整了仪器的功率，它将按照守密人体征健康且狂气充盈的功率进行输出。,"Учитывая срочность ситуации, я отрегулировала устройство, чтобы мощность рассчитывала состояние здоровья Хранителя и количество Алиемуса."
AvgDialog_10126_Content_3,adne,avg序章_AvgDialog_C_M.csv,10,AvgDialog,Content,拉蒙娜战损版,这种做法极为凶险，但我们不得不放手一搏。现在，使用狂气爆发来终结这一战吧！,"Это крайне опасная тактика, но нам остаётся лишь рискнуть. А теперь воспользуйся моим Вознесением, чтобы закончить этот бой!"
AvgDialog_10142_Content_2,adpT,avg序章_AvgDialog_C_M.csv,13,AvgDialog,Content,拉蒙娜,别在这么重要的仪式上走神哦，<Yellow:守密人>，下一个就轮到你被授予银钥匙了。,"Не витай в облаках во время важной церемонии, <Yellow:Хранитель>. Следующий Серебряный Ключ вручать будут уже тебе."
AvgDialog_10142_Content_3,adpU,avg序章_AvgDialog_C_M.csv,14,AvgDialog,Content,拉蒙娜,立下自己的墓碑，以此证明我们为<Yellow:对抗融蚀>献出生命的决意——这不仅是弥萨格的传统，也是我们结束预科学习、成为正式调查员的标志。,"Установление собственного надгробия в знак решимости отдать свою жизнь <Yellow:в борьбе с Растворением> — это не только традиция Мисага, но и символ завершения подготовительного курса и становление официальными исследователями."
AvgDialog_10142_Content_4,adpV,avg序章_AvgDialog_C_M.csv,15,AvgDialog,Content,拉蒙娜,准备好了的话，就在墓碑上镌刻下你的名字吧。,"Когда подготовишься, высеки своё имя на надгробии."
AvgDialog_10130_Content_2,adnJ,avg序章_AvgDialog_C_M.csv,18,AvgDialog,Content,拉蒙娜,欢迎你加入弥萨格大学，%player%。,"Добро пожаловать в университет «Мисаг», %player%."
AvgDialog_10130_Content_3,adnO,avg序章_AvgDialog_C_M.csv,19,AvgDialog,Content,拉蒙娜,或者说……欢迎你，正式跨入世界的里侧。,"Или, скорее... добро пожаловать на изнанку мира."
AvgDialog_10130_Content_4,adnP,avg序章_AvgDialog_C_M.csv,20,AvgDialog,Content,,我回来了。,Я дома.
