Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
Task_10320_Name,baZf,r任务_Task_A.csv,330,Task,Name,,研究任务：炼金札记,งานวิจัย: บันทึกการแปรธาตุ
Task_10320_Desc,baZd,r任务_Task_A.csv,330,Task,Desc,,闪闪发光的东西不一定是黄金，但一定价格不菲。\n相传，弥萨格由一帮离群的炼金术士创立，他们的野心可远不止点石成金。,สิ่งที่ส่องประกายอาจไม่ใช่ทองคำเสมอไป แต่ที่แน่ๆ มันมีราคามหาศาล\nเล่ากันว่ามิธธากก่อตั้งโดยกลุ่มนักเล่นแร่แปรธาตุปลีกวิเวกที่ความทะเยอทะยานนั้นก้าวไกลเกินกว่าแค่การเปลี่ยนหินให้เป็นทอง
Task_10320_CompleteCondDesc,baZc,r任务_Task_A.csv,330,Task,CompleteCondDesc,,派遣总等级>={s1},เลเวลรวมการมอบหมายภารกิจ ≥ {s1}
,,,—,,,,,
Task_10323_Name,baZx,r任务_Task_A.csv,331,Task,Name,,研究任务：制剂制作,งานวิจัย: การผลิตยา
Task_10323_Desc,baZv,r任务_Task_A.csv,331,Task,Desc,,严格意义上来说，唤醒体也是银芯科技的一种。\n你必须竭尽全力才能让它们不至于落伍。,หากพูดกันตามหลักการแล้วผู้ปลุกตื่นก็ถือเป็นเทคโนโลยีซิลเวอร์คอร์ประเภทหนึ่งเช่นกัน\nจึงจำเป็นต้องทุ่มเทอย่างสุดกำลัง เพื่อไม่ให้พวกเขาล้าหลังจนเกินไป
Task_10323_CompleteCondDesc,baZu,r任务_Task_A.csv,331,Task,CompleteCondDesc,,派遣总等级>={s1},เลเวลรวมการมอบหมายภารกิจ ≥ {s1}
,,,—,,,,,
Task_10277_Name,baUn,r任务_Task_A.csv,333,Task,Name,,调查任务：密银寻踪,ภารกิจ: แกะรอยมิธริล
Task_10277_Desc,baUl,r任务_Task_A.csv,333,Task,Desc,,在图书馆静坐并不会让你获得更多的唤醒体。\n出发吧，迈出你的双腿，在自然中寻找那万分之一的可能性。,การนั่งนิ่งๆ อยู่ในห้องสมุด ไม่ได้ช่วยให้คุณได้รับผู้ปลุกตื่นเพิ่มขึ้นหรอก\nออกเดินทางเถอะ ก้าวเท้าของคุณออกไป ตามหาความเป็นไปได้เพียงหนึ่งในหมื่นภายใต้ธรรมชาติ
Task_10277_CompleteCondDesc,baUk,r任务_Task_A.csv,333,Task,CompleteCondDesc,,派遣总等级>={s1},เลเวลรวมการมอบหมายภารกิจ ≥ {s1}
,,,—,,,,,
Task_10787_Name,bbZh,r任务_Task_A.csv,334,Task,Name,,研究任务：炼金札记,งานวิจัย: บันทึกการแปรธาตุ
Task_10787_Desc,bbZf,r任务_Task_A.csv,334,Task,Desc,,闪闪发光的东西不一定是黄金，但一定价格不菲。\n相传，弥萨格由一帮离群的炼金术士创立，他们的野心可远不止点石成金。,สิ่งที่ส่องประกายอาจไม่ใช่ทองคำเสมอไป แต่ที่แน่ๆ มันมีราคามหาศาล\nเล่ากันว่ามิธธากก่อตั้งโดยกลุ่มนักเล่นแร่แปรธาตุปลีกวิเวกที่ความทะเยอทะยานนั้นก้าวไกลเกินกว่าแค่การเปลี่ยนหินให้เป็นทอง
Task_10787_CompleteCondDesc,bbZe,r任务_Task_A.csv,334,Task,CompleteCondDesc,,派遣总等级>={s1},เลเวลรวมการมอบหมายภารกิจ ≥ {s1}
,,,—,,,,,
Task_10736_Name,bbTn,r任务_Task_A.csv,335,Task,Name,,研究任务：制剂制作,งานวิจัย: การผลิตยา
Task_10736_Desc,bbTl,r任务_Task_A.csv,335,Task,Desc,,严格意义上来说，唤醒体也是银芯科技的一种。\n你必须竭尽全力才能让它们不至于落伍。,หากพูดกันตามหลักการแล้วผู้ปลุกตื่นก็ถือเป็นเทคโนโลยีซิลเวอร์คอร์ประเภทหนึ่งเช่นกัน\nจึงจำเป็นต้องทุ่มเทอย่างสุดกำลัง เพื่อไม่ให้พวกเขาล้าหลังจนเกินไป
Task_10736_CompleteCondDesc,bbTk,r任务_Task_A.csv,335,Task,CompleteCondDesc,,派遣总等级>={s1},เลเวลรวมการมอบหมายภารกิจ ≥ {s1}
,,,—,,,,,
Task_10565_Name,bbAx,r任务_Task_A.csv,336,Task,Name,,调查任务：活性解离,ภารกิจ: แยกตัวกัมมันต์
Task_10565_Desc,bbAv,r任务_Task_A.csv,336,Task,Desc,,他的本能、理智和心都被封装在小小的玻璃瓶里。\n世界从此与他无关。,ทั้งสัญชาตญาณ สติสัมปชัญญะ และหัวใจของเขา ทั้งหมดถูกผนึกไว้ในขวดแก้วใบเล็กๆ\nตั้งแต่นั้นเป็นต้นมา โลกใบนี้ก็ไม่มีอะไรเกี่ยวข้องกับเขาอีกต่อไป
Task_10565_UnlockCondDesc,bbAz,r任务_Task_A.csv,336,Task,UnlockCondDesc,,完成调查事件 1-13 开放,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-13 "
Task_10565_CompleteCondDesc,bbAu,r任务_Task_A.csv,336,Task,CompleteCondDesc,,派遣总等级>={s1},เลเวลรวมการมอบหมายภารกิจ ≥ {s1}
,,,—,,,,,
Task_10975_Name,bcsZ,r任务_Task_A.csv,337,Task,Name,,调查任务：影像疗法,ภารกิจ: ทัศนบำบัด
Task_10975_Desc,bcsX,r任务_Task_A.csv,337,Task,Desc,,「它将转写你的心。」\n「是吗？那它一定千疮百孔吧。」,"""มันจะถ่ายโอนหัวใจของคุณออกมา""\n""อย่างนั้นหรือ? ถ้าอย่างนั้น... หัวใจดวงนี้ก็คงจะเต็มไปด้วยบาดแผลเกินเยียวยาสินะ"""
Task_10975_UnlockCondDesc,bctb,r任务_Task_A.csv,337,Task,UnlockCondDesc,,完成调查事件 1-13 开放,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-13 "
Task_10975_CompleteCondDesc,bcsW,r任务_Task_A.csv,337,Task,CompleteCondDesc,,派遣总等级>={s1},เลเวลรวมการมอบหมายภารกิจ ≥ {s1}
,,,—,,,,,
Task_10538_Name,bbxD,r任务_Task_A.csv,338,Task,Name,,调查任务：达达主义,ภารกิจ: ลัทธิดาดา
