Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
AwakerConfig_77917_AwakerIntroduction,asJV,h唤醒体_AwakerConfig_A.csv,61,AwakerConfig,AwakerIntroduction,,·虔诚而尊贵的提灯圣子，纯洁的圣心永远追逐光明。\n·运用圣辉之力周期性强化卡牌效果，运用圣子的权能裁决一切漆黑的罪恶。\n·本次关卡中，将携带等级 50 级，技能等级5，启灵3的波吕克斯出战，每回合获得 50 狂气和 1 张「灵感」。,"A pious and noble Divus of the Lightbearers, his Sacred Heart perpetually yearns for the dawn. He harnesses divine brilliance to periodically enhance card effects and wields the authority of a Divus to pass judgment upon all sins that dwell in shadow.\nIn this stage, Pollux debuts at Lvl. 50 with Skill Lvl. 5 and Enlightenment 3, gaining 50 Aliemus and 1 ""Insight"" each turn."
AwakerStory_95097_Content,bzlx,h唤醒体故事_AwakerStory_A.csv,259,AwakerStory,Content,波吕克斯,"他是畸生而出的血肉，由剖开又缝补的肌肤、空洞的胸腔、污浊的心脏与无形的锁链构成。
他被捧上高台，人们膜拜在他的脚下，声称他拥有无垢的灵魂。
他究竟是什么？他在无数梦中茫然发问，那暗绿的湖水与空无一物的浓雾中，只有他的声音孤独回响。","He is flesh born from a twisted existence, made up of cut and resewn skin, an empty chest cavity, a tainted heart, and invisible chains.\nHe is placed on a pedestal; people worship at his feet and claim he possesses a pure soul.\n\nWhat exactly is he? Lost in countless dreams, he asks in confusion; among the dark green lake water and the empty fog, only his voice echoes in loneliness."
AwakerStory_95095_Content,bzlr,h唤醒体故事_AwakerStory_A.csv,260,AwakerStory,Content,波吕克斯,"基于对波吕克斯那颗「圣心」与提灯教会的降神仪式之间可能存在的关系的考量，弥萨格曾组建了研究小组对「圣心」进行了一系列检查与实验。
令波吕克斯遗憾的是，这颗「圣心」已经完全替代了他原本心脏的机能，融入了他的身体之中，无法直接摘除或替换。
在观察实验中，研究人员发现这颗外形酷似眼瞳的「圣心」时常会产生非波吕克斯意志下的轻微抖动与转动，如同一只真正的眼睛。
但经过光源测试后，证明「圣心」不存在类似视力的功能，这种活动更像是源于对其他生物或物品的感应。
在不同放置物品的对照中，与融蚀、银芯相关物品的靠近更容易引起「圣心」的活动，在被融蚀生物与唤醒体面前，「圣心」的活动则尤为明显。
在波吕克斯主动使用「圣心」的力量后，普通物品的物理及化学性质不会有任何改变，而在融蚀物品、生物面前，则出现了速度惊人的融蚀扩大现象。原本位于融蚀阶段早期的动植物肉眼可见地加速度过了发展阶段，快速转向融蚀末期的状态。当动植物原本受到的融蚀越严重，这样的扩散则越迅速。
在建立了严格保护措施的唤醒体实验中，当面对「圣心」的力量时，唤醒体表示感受到有某种黑暗逼近的危险气息，实验因而被迅速叫停。波吕克斯也在校方的严正说明下，保证不会将圣心的力量对唤醒体使用。
由于波吕克斯极其配合的态度和良好的自控力，弥萨格并未给波吕克斯佩戴强制管制道具，只是定期给波吕克斯安排了体检与力量使用训练。
据说在听闻了实验结果后，唤醒体温柯尔曾尖叫着险些晕倒，并在自己的实验室和宿舍门上张贴了禁止波吕克斯靠近的告示，校方屡次劝说无果，波吕克斯本人对此则大度地表示会尊重温柯尔的要求。","Considering the potential relationship between Pollux's ""Sacred Heart"" and the Church of the Lightbearers' divine ritual, Mythag formed a research team to conduct a series of inspections and experiments on the heart.\nTo Pollux's dismay, the ""Sacred Heart"" had entirely replaced his original heart's function, becoming integrated into his body, making direct removal or replacement impossible.\nDuring observational experiments, researchers discovered that the ""Sacred Heart,"" which resembles a pupil, often exhibited subtle tremors and rotations independent of Pollux's will, much like a real eye.\nHowever, light source testing proved the ""Sacred Heart"" did not possess visual functions. Instead, the activity appeared to be sensitivity to other living beings or objects. In comparative trials with various items, proximity to items related to Dissolution and the Silver Core triggered the heart's activity more easily.\nIts activity was particularly pronounced near Dissoluted creatures and Awakeners. When Pollux actively used the ""Sacred Heart's"" power, the physical and chemical properties of ordinary items remained unchanged. However, when directed at Dissoluted items and creatures, a remarkable expansion of Dissolution occurred. Living organisms visibly in the early stages of Dissolution rapidly accelerated towards the late stages. The more severe the Dissolution originally suffered by the organisms, the faster this spread occurred.\nIn experiments with strict protective measures on Awakeners, the subjects reported a sense of approaching darkness and danger when faced with the ""Sacred Heart's"" power, prompting the experiment to be quickly halted.\nAfter a stern explanation from the school, Pollux promised not to use the power against Awakeners. Due to Pollux's cooperation and excellent self-control, Mythag did not impose mandatory controlling items on him, but instead arranged regular health checks and power training.\nApparently, after hearing of the experimental results, Awakener Winkle almost fainted from screaming before posted notices prohibiting Pollux from approaching on the doors of her laboratory and dormitory. The school repeatedly tried to persuade her to no avail, and Pollux graciously stated that he would respect Winkle's wishes."
AwakerStory_95098_Content,bzlA,h唤醒体故事_AwakerStory_A.csv,261,AwakerStory,Content,波吕克斯,"比起卡斯托尔那样积极好学的态度，波吕克斯接触外界的风格则更加谨慎。
观察、思考、怀疑，足够的思虑与小心让曾经的他能够在教会的重重控制下，带着卡斯托尔成功出逃。
从儿时起，他便学会了揣度他人的想法，学会了撒谎，学会了用笑容遮掩真实的想法。哪怕是在亲密无间的哥哥面前，他仍会下意识地用轻松的笑容去安抚对方。
「没关系的。」
「一定可以的。」
在那样庞然大物的手掌之下，弱小者需要拼尽全力才能寻到一丝可能的希望。
经历了漫长的遗忘与欺骗后，如今的他更加不允许任何危险与失误的存在。哪怕听从泰旖丝的建议来到弥萨格后，在很长的一段时间里，他都保持了相当的警惕。
在其他唤醒体看来，波吕克斯是一个话不多，却很有耐心，常常会对人露出微笑的友善家伙。但那些久经世故的年长者看到他后，则都纷纷感叹两兄弟之间的不同。
据泰旖丝说，哪怕是在她的面前，波吕克斯也会有意无意地将卡斯托尔挡在身后——从他找回记忆以来，他已经不再愿意让卡斯托尔总是保护着他。
詹金也曾煞有介事地向守密人告状波吕克斯的表里不一，声称自己不小心捡到卡斯托尔的东西时，曾看到波吕克斯骤然阴沉的面孔。「那个家伙平时的好脾气肯定都是装的！他私下里就是那种会吃小孩的变态！」
然而在直面了守密人的力量后，波吕克斯对待守密人的态度就发生了一百八十度的转变，在「圣心」的剧烈反应下，他声称已从那伟大的灵魂中获悉了世界的真相，并毕恭毕敬地将守密人奉为了新的信仰。","Compared to Castor's eager and studious attitude, Pollux's approach to the world is one of quiet vigilance.\nHe observes, he thinks, he doubts. It was his meticulous consideration and caution that once enabled their successful escape from the church's heavy control. From a young age, he learned to gauge the intentions of others, to lie, and to hide his true thoughts behind a disarming smile. Even with his intimately close brother, he would subconsciously use a relaxed demeanor to soothe and reassure.\n""It's okay.""\n""It will be alright.""\nBeneath the shadow of a giant, the weak must exhaust every means to grasp a single glimmer of hope.\nHaving endured a long period of forced amnesia and deception, he is now more intolerable of danger or mistakes. Even after heeding Thais's advice and coming to Mythag, he remained profoundly vigilant for a long time.\nTo other awakeners, Pollux appears as a quiet, patient, and friendly individual who often offers a gentle smile. But seasoned elders who see him can only sigh at the profound difference between the two brothers.\nAccording to Thais, even in her presence, Pollux will intentionally or unintentionally position himself between her and Castor—since reclaiming his memory, he no longer wishes for Castor to always be his protector.\nJenkin once earnestly complained to the Keeper about Pollux's duality, claiming that when she ""accidentally"" picked up an item belonging to Castor, she witnessed his expression turn terrifying in an instant. ""His usual good temper must be fake! He's the type who would eat children in private!""\nHowever, after witnessing the Keeper's true power, Pollux's attitude underwent a complete transformation. He claims to have learned the truth of the world from that great soul and has now taken the Keeper as his new, unwavering faith."
AwakerStory_95096_Content,bzlu,h唤醒体故事_AwakerStory_A.csv,262,AwakerStory,Content,波吕克斯,"在命运之神最初的设想里，他大概不应诞生于世。
一开始从人造双子实验中诞生的只有卡斯托尔一人，就在这团无知无觉的胚胎要被处理丢弃时，波吕克斯挣扎着，从哥哥的血肉中扭曲撕裂而生。他吸食了他的生命，也拯救了他的生命，他们的血肉、灵魂与命运就此交缠。
于枯燥的教会修行之中，两人的生活与命运原本别无二致，直到「神圣改造」仪式的开始，痛苦且无情的折磨让波吕克斯从圣子的宿命中惊醒。两个孩子做出了一生中最大胆的壮举，他们拿着一本过时的书籍描摹出了一副世界的地图，然后从一个虚假的世界中逃向了另一个幻想中的世界。
脆弱而短暂的美梦破碎后，残酷的惩罚未曾击垮他们的灵魂，但那宿命的残酷分叉已经将他们就此分隔了。
于丽埃特下令将两人分开供养，罪潭中的卡斯托尔不知道的是，两人想象中的酷刑并没有实施在波吕克斯身上，于丽埃特几近仁慈地结束了剩余的惩罚，甚至很快将波吕克斯从禁闭的暗室中放出，转而投入了密集严苛的神学教导。
波吕克斯满腹的不屈与疑惑在面对于丽埃特绝对从容的目光时，变成了某种不安与恐惧，她一定是掌握了某种他无力反抗的办法，才会如此好整以暇。
他挣扎、伪装、从未放弃。他好像做了许多事……但他做了什么呢？镜子中只剩下一个陌生的灵魂，忠诚地戴上了那顶圣子的冠冕。
他与他们的记忆，已经被彻底遗忘了。","In the original design of the God of Fate, Pollux was probably never meant to be born.\nInitially, only Castor had been successfully created in the artificial Twin Divi experiment. Just as this single, clueless embryo was to be disposed of, Pollux struggled and twisted himself free from his brother's flesh. He absorbed his life force, yet in doing so, he also saved it—from that moment on, their flesh, souls, and fates were irrevocably intertwined.\nIn the monotonous routine of the church's teaching, their lives and destinies were identical. But with the start of the ""Holy Transformation"" ritual, the pain and ruthless torment awakened something within Pollux—a defiance of his ordained fate as a Divus. The two children committed the boldest act of their lives: they sketched a world map from an outdated book and escaped from one false world to another imagined one.\nAfter that fragile, fleeting beautiful dream shattered, the cruel punishment that followed did not crush their souls, yet that merciless fork in fate had already driven them apart.\nJuliette ordered the two to be separated and ""re-educated."" Castor, submerged in the pool of sin, remained unaware that the tortures they had imagined were never inflicted upon Pollux. Instead, with a decision nearing mercy, Juliette ended the physical punishment and soon released Pollux from the dark room's confinement, steering him instead toward intense and rigorous theological education.\nPollux's unyielding doubts transformed into a deep-seated unease and fear under Juliette's utterly calm gaze; she must have mastered a method of control he could not resist, to appear so completely at ease.\nHe struggled, he disguised himself, and he never gave up. It seemed he did so many things... but what, in the end, had he truly accomplished? In the mirror, only the soul of a stranger remained, dutifully wearing the crown of the Divus.\nHe, and all their shared memories, had been completely forgotten."
AwakerStory_95094_Content,bzlo,h唤醒体故事_AwakerStory_A.csv,263,AwakerStory,Content,波吕克斯,"他的一生都活在被操纵的丝线下，那早早写好的剧本是一场可笑的谎言，令他不停失去、遗忘、错过。
在年少时他最渴望的是能够自由地挥舞翅膀，飞到那片湖水之外的世界去看看。
直到他为这个愿望失去了一切后，他已无法将那样轻盈的、无忧无虑的生活当做全部的梦想。
无尽的怒火将那颗漆黑的心脏点燃，他郁结成血的痛苦与仇恨，要用那些伪信者的死亡才能洗刷偿还。","His entire life was lived under manipulating strings; that script written long ago was a laughable lie that forced him to constantly lose, forget, and miss out.\nWhen he was young, what he desired most was to freely flap his wings and see the world beyond that lake.\nIt wasn't until he lost everything to fulfill this wish that he could no longer regard such a light and carefree life as his ultimate dream.\nEndless rage ignited that pitch-black heart, and the pain and hatred he repressed into his blood needed to be washed away with the deaths of those false believers."
Voice_95082_AwakerVoiceContent,bzwE,y语音_Voice_A.csv,2341,Voice,AwakerVoiceContent,波吕克斯,您的赐予，我会心怀感激地使用。,"Your bestowed gift I shall wield, with the deepest gratitude."
Voice_95065_AwakerVoiceContent,bzvL,y语音_Voice_A.csv,2368,Voice,AwakerVoiceContent,波吕克斯,过往的种种罪孽已然犯下，不应该再去逃避它。我还要去修正提灯的错误，将那些歧路之人引向正途。让我承担我的罪孽吧。然后，我将回应这道光、回应您的召唤，踏上那条真正的、属于圣子的道路。,"The sins of the past have been committed; I shall flee them no longer. I must also correct the Lantern's mistakes and guide the strayed back to the true path. Let me bear my sins. Then, I shall answer the light of your call and tread the right path as the Divus."
Voice_95072_AwakerVoiceContent,bzwf,y语音_Voice_A.csv,2372,Voice,AwakerVoiceContent,波吕克斯,一位光明的侍从失去了他手中的灯火，这盲目的痛苦实在令我心焦，我衷心地恳请您将这个迷失的灵魂拯救，请您握住我的手，贴近这颗圣心，请您赐予我，通往光明的指引……,"I have lost my light, and this blind suffering torments me. I beg you, save my lost soul. Please, take my hand as I guide yours over this Holy Heart in my chest. Please, guide me toward the light..."
Voice_95070_AwakerVoiceContent,bzvZ,y语音_Voice_A.csv,2374,Voice,AwakerVoiceContent,波吕克斯,引领我、给予我光明之人啊，曾经我一直被蒙蔽在虚假的意义中，现在在您的指引下，我已找回了我真正的使命——将那些愚昧而扭曲的伪信者矫邪归正，为世间带来恒久不灭的光明。我知晓您的无私，您并不需要我的虔诚与供奉，那么就请允许我跟随在您的身边，记录下您的每一条圣言与圣行，以供于暗夜之中指引我的前路。,"You have lead me and granted me Light. For so long I was blinded by false purpose. Now, I have found my true calling: to correct the ignorant and distorted heretics and bring everlasting Light to this world. I know of your selflessness; You have no need for my devotion or offerings. Then I beg of this: allow me to walk at your side, to record every sacred word and deed, that they may guide my path through the darkness."
