Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
Event_7101_ChoiceDesc1,azGj,s事件_Event_A.csv,8,Event,ChoiceDesc1,,【接通】回复 Arg2 点生命。[ExDesc1],[Connect] Recover Arg2 HP [ExDesc1].
Event_7101_ChoiceDesc2,azGk,s事件_Event_A.csv,8,Event,ChoiceDesc2,,【冥想】选择觉醒1名唤醒体。[ExDesc1],[Meditate] Rouse an Awakener [ExDesc1].
Event_7101_ChoiceDesc3,azGl,s事件_Event_A.csv,8,Event,ChoiceDesc3,,【驱逐】移除最多 3 张症状卡，获得 Arg2 黑印。,"[Expel] Destroy up to 3 Symptom cards, and acquire Arg2 Black Sigils."
Event_7101_Tips3,azGs,s事件_Event_A.csv,8,Event,Tips3,,当前并未拥有症状卡,You are not currently exhibiting any Symptoms.
Event_74161_ChoiceDesc1,aBer,s事件_Event_A.csv,9,Event,ChoiceDesc1,,【安葬】回复 Arg2 点生命[ExDesc1]，选择 1 张指令卡删除。,[Interment] Destroy a Command card and recover Arg2 HP[ExDesc1].
Event_74161_ChoiceDesc2,aBes,s事件_Event_A.csv,9,Event,ChoiceDesc2,,【祷告】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Prayer] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7049_ChoiceDesc1,aztX,s事件_Event_A.csv,15,Event,ChoiceDesc1,,【专注】删除最多2张症状卡。,[Focus] Destroy up to 2 Symptom cards.
Event_7049_ChoiceDesc2,aztY,s事件_Event_A.csv,15,Event,ChoiceDesc2,,【冥想】选择觉醒1名唤醒体。,[Meditate] Rouse an Awakener.
Event_7049_ChoiceDesc3,aztZ,s事件_Event_A.csv,15,Event,ChoiceDesc3,,【接通】回复 Arg2 点生命。,[Connect] Recover Arg2 HP.
Event_49867_ChoiceDesc1,axnT,s事件_Event_A.csv,16,Event,ChoiceDesc1,,随机唤醒体加50狂气,A random Awakener gains 50 Aliemus.
Event_7280_ChoiceDesc1,aAuP,s事件_Event_A.csv,19,Event,ChoiceDesc1,,【驱散幻象】失去(Arg3)点生命。,[Dispel the Illusion] Lose Arg3 HP
Event_7618_Desc,aCic,s事件_Event_A.csv,20,Event,Desc,,你集中精神，幻象如水墨一般散去。你继续向前，却无法彻底清除心头的阴霾。,"You focus, and the illusion dissipates like ink in water. You move forward, but the shadow on your heart remains You focus, and the illusion dissipates like ink in water. You move forward, but the shadow on your heart remains."
Event_7580_ChoiceDesc1,aBZj,s事件_Event_A.csv,21,Event,ChoiceDesc1,,【驱散幻象】感染症状。,[Dispel the Illusion] Develop a random Symptom.
Event_7510_Desc,aBJg,s事件_Event_A.csv,22,Event,Desc,,你集中精神，幻象如水墨一般散去。你继续向前，却无法彻底清除心头的阴霾。,"You focus, and the illusion dissipates like ink in water. You move forward, but the shadow on your heart remains You focus, and the illusion dissipates like ink in water. You move forward, but the shadow on your heart remains."
Event_6858_Tips1,ayBe,s事件_Event_A.csv,23,Event,Tips1,,需要获得「锈蚀钥匙」,"You need to find the ""Rusted Keys""."
Event_7467_Desc,aBzk,s事件_Event_A.csv,24,Event,Desc,,咔嚓。\n你将钥匙插入锁孔，轻轻把门推开。\n整个开门的过程都无比顺利，让你对接下来的调查又有了信心。,"Click.\nYou insert the key into the lock and gently push the door open.\nThe whole process goes smoothly, boosting your confidence for the investigation ahead Click.\nYou insert the key into the lock and gently push the door open.\nThe whole process goes smoothly, boosting your confidence for the investigation ahead."
Event_6981_Desc,azes,s事件_Event_A.csv,25,Event,Desc,,一串锈迹斑斑的钥匙。可用于开启门锁。,A rusty key. Can be used to unlock doors. A string of rusty keys. Can be used to unlock doors.
Event_6981_ChoiceDesc1,azen,s事件_Event_A.csv,25,Event,ChoiceDesc1,,【拾取钥匙】,[Pick Up Keys]
Event_7546_ChoiceDesc2,aBRs,s事件_Event_A.csv,39,Event,ChoiceDesc2,,【闯入雾气】失去 Arg2 点生命,[Enter the Mist] Lose Arg2 HP
Event_7608_ChoiceDesc2,aCfI,s事件_Event_A.csv,40,Event,ChoiceDesc2,,【闯入雾气】感染「(Skill.Arg2)」,"[Enter the Mist] Develop the Symptom ""(Skill.Arg2)"""
Event_7463_ChoiceDesc2,aByk,s事件_Event_A.csv,41,Event,ChoiceDesc2,,【闯入雾气】失去 Arg2 点生命,[Enter the Mist] Lose Arg2 HP
Event_49055_ChoiceDesc1,axmz,s事件_Event_A.csv,42,Event,ChoiceDesc1,,【呼唤唤醒体】扣除所有唤醒体 100 狂气，删除 1 张症状卡,[Summon Awakeners] All Awakeners lose 100 Aliemus. Destroy a Symptom Card.
Event_49055_ChoiceDesc2,axmA,s事件_Event_A.csv,42,Event,ChoiceDesc2,,【奋力挣扎】回复 Arg1 点生命，感染2张「(Skill.Arg2)」,"[Struggle] Recover Arg1 HP, but develop ""(Skill.Arg2)"" twice."
Event_49055_ChoiceDesc3,axmB,s事件_Event_A.csv,42,Event,ChoiceDesc3,,【插入银钥匙】清空所有银钥能量,[Harness Silver Key] Lose all Keyflare.
